,ubigeo
1798,0105140018
1799,0105140019
1800,0105140020
1801,0105140021
1802,0105140022
1803,0105140023
1804,0105140024
1805,0105140025
1806,0105140026
1807,0105140027
1808,0105140028
1809,0105140029
1810,0105140030
1811,0105140031
1812,0105140032
1813,0105140033
1814,0105140034
1815,0105140035
1816,0105140036
1817,0105140037
1818,0105140038
1819,0105140039
1820,0105140040
1821,0105140041
1822,0105140042
1823,0105140043
1824,0105140044
1825,0105140045
1826,0105140046
1827,0105140047
1828,0105140048
1829,0105140049
1830,0105140050
1831,0105140051
1832,0105140052
1833,0105140053
1834,0105140054
1835,0105140055
1836,0105140056
1837,0105140057
1838,0105140058
1839,0105140059
1840,0105140060
1841,0105140061
1842,0105140062
1843,0105140063
1844,0105140064
1845,0105140065
1846,0105140066
1847,0105140067
1848,0105140068
1849,0105140069
1850,0105140070
1851,0105140071
1852,0105140072
1853,0105140073
1854,0105140074
1855,0105140075
1856,0105140076
1857,0105140077
1858,0105140078
1859,0105150001
1860,0105150002
1861,0105150003
1862,0105150004
1863,0105150005
1864,0105150006
1865,0105150007
1866,0105150008
1867,0105150009
1868,0105150010
1869,0105150011
